vehicle_speed,traffic_density,route_stability_score,packet_loss_rate,signal_strength,distance_to_destination,rsu_coverage_score,lane_count,road_priority,avg_vehicle_spacing,optimal_route_chosen
67.45071229516849,23.248217250256182,0.48501798752404124,6.231724245321873,-59.103607686426,4.351678254577712,0.9335243127166306,5,4,0.8594529109732099,0
57.92603548243223,28.554813292844823,0.08540303016272166,0.7442841843851566,-91.51828063044948,14.332962422362632,0.5267497498807476,3,1,5.08235903389787,0
69.71532807151038,22.075800790000386,0.9724613900279022,5.036917612374446,-51.336105881455616,39.0745121629286,0.5378378231493077,3,2,6.027350431586612,1
82.84544784612038,26.920384703609596,0.5180104313760979,1.8262513025310112,-72.3773670468484,7.579395595115973,0.7807179957065223,5,5,3.6770242294369604,0
56.48769937914996,11.063853330462145,0.6141862443190114,5.739751750317419,-58.13432253246824,32.35797805634787,0.31468897387132655,2,4,5.149256019633695,1
56.487945645762295,32.13293707372939,0.23660978270750732,6.374046122611835,-57.58926219317714,45.87129264022506,0.48190756883600216,1,2,3.745926981700311,0
83.68819223261087,30.01205475362224,0.4834980851068038,5.567092565528538,-73.76697085619293,33.991837987886015,0.9686629131467376,4,3,3.540854133559219,0
71.51152093729362,21.829113689318092,0.42914949195832186,7.382955104783076,-58.3954004764845,40.55108446461134,0.6721486869324071,3,2,4.183160299737366,0
52.95788421097572,36.59245668432405,0.07489584200198374,3.3560924424090133,-68.85493240912358,5.44858146519579,0.15374503199578593,1,1,3.5786160150659785,0
68.13840065378947,39.37570137626558,0.10616035354746722,7.651065916331309,-85.71377179338157,12.536591300102723,0.1332267479843533,4,2,6.367236623872666,0
53.04873460781307,13.924401356310259,0.8374725196187746,4.327670817081937,-53.32258074472221,44.72694261202955,0.2042647583330054,4,2,3.5300962463292445,1
53.01405369644615,22.372752214337858,0.23981995220659025,4.841844983225968,-72.7504496301624,35.75528068090446,0.7667116744207175,3,3,3.194179985904145,0
63.629434073490515,22.308576502127018,0.19495827149863054,6.481021272610715,-73.54493462738054,31.97769131886556,0.29537700384061605,2,3,8.535857333679067,0
31.300796330133032,20.600968988911355,0.5049114512501393,0.1835838399922396,-69.03065868036722,33.188336806085,0.021388846675079787,2,5,6.921480023648071,0
34.12623251230451,38.294748419317486,0.7687471313625129,6.539942214202483,-62.27763274672612,20.710027715232172,0.9441743635056619,1,3,1.2769732786815995,1
51.56568706138541,28.061738612271967,0.06194651857898792,6.185851490721154,-65.57270410822102,2.227831580882661,0.16971341639491067,1,2,3.4704634202949327,0
44.80753319498364,27.354851586893894,0.5768079196382558,3.098471167532799,-59.5193307529283,39.22207710353645,0.009558186148068581,5,1,5.484925943445422,0
64.71370998892911,9.961376355932465,0.11921044284057336,0.8579428489948948,-78.39489366528659,33.93566181076769,0.23713160238332298,2,3,5.647510134462987,0
46.37963886718184,36.35418030209226,0.03646105082561846,0.9093544991304114,-72.42386370430735,23.640223205636236,0.2350287871181337,1,5,2.019014268526213,0
